user id,test group,converted,total ads,most ads day,most ads hour
1300427,ad,False,21,Friday,20
1197483,ad,False,2,Thursday,20
1234257,ad,False,20,Sunday,10
1384841,ad,True,47,Friday,14
1646962,ad,False,13,Tuesday,13
1241695,ad,False,5,Wednesday,12
1557010,ad,False,63,Wednesday,10
1232385,ad,False,2,Sunday,12
1020537,ad,False,21,Friday,17
1627378,ad,False,1,Wednesday,15
1495705,ad,False,1,Saturday,18
1494661,ad,False,11,Friday,23
1646423,ad,False,53,Thursday,14
1316498,ad,False,5,Thursday,9
1486929,ad,False,134,Sunday,17
1395845,ad,False,24,Tuesday,18
1300191,ad,True,11,Tuesday,7
1267261,ad,False,22,Friday,11
1365654,ad,False,20,Tuesday,11
1483735,ad,False,21,Tuesday,19
1548872,ad,False,28,Wednesday,14
1373604,ad,False,25,Thursday,17
1627544,ad,False,8,Thursday,14
1487713,ad,False,3,Sunday,17
1014211,ad,False,10,Tuesday,19
1112405,ad,False,12,Friday,21
1368421,ad,False,14,Monday,16
1559225,ad,False,10,Friday,10
1432696,ad,False,28,Saturday,17
1457829,ad,False,5,Thursday,12
1109535,ad,False,5,Thursday,22
1245575,ad,False,7,Wednesday,23
1051504,ad,False,37,Thursday,21
1248728,ad,False,132,Friday,9
1529034,ad,False,3,Friday,16
1256593,ad,False,9,Wednesday,16
1045363,ad,False,8,Sunday,0
1323636,ad,False,27,Sunday,13
1526951,ad,False,226,Saturday,11
1478210,ad,False,18,Wednesday,13
1396228,ad,False,5,Sunday,12
1502217,ad,False,1,Saturday,15
1040592,ad,False,8,Thursday,14
1044444,ad,False,19,Wednesday,9
1593395,ad,False,1,Tuesday,13
1572959,ad,False,5,Thursday,16
1643095,ad,False,1,Saturday,11
1019729,ad,False,22,Monday,19
1612546,ad,False,4,Monday,22
1029851,ad,False,4,Saturday,17
1629750,ad,False,2,Tuesday,10
1571655,ad,False,21,Wednesday,9
1612189,ad,False,9,Thursday,20
1512227,ad,False,15,Monday,21
1006133,ad,False,17,Monday,17
1445095,ad,False,9,Friday,12
1017253,ad,False,65,Sunday,16
1269403,ad,False,7,Tuesday,14
1312119,ad,False,33,Tuesday,14
1425151,ad,False,17,Saturday,18
1191495,ad,False,31,Sunday,17
1025682,ad,False,10,Friday,11
1568679,ad,False,14,Friday,12
1538372,ad,False,4,Sunday,17
1260206,ad,False,1,Saturday,21
1316656,ad,False,16,Sunday,9
1251809,ad,False,114,Wednesday,14
1561510,ad,False,6,Monday,22
1525165,ad,False,13,Wednesday,9
1059403,ad,False,27,Monday,17
1129844,ad,False,5,Thursday,19
1599528,ad,False,10,Tuesday,10
1511263,ad,False,45,Thursday,16
1595459,ad,False,7,Sunday,19
1505687,ad,False,4,Wednesday,11
1018065,ad,False,28,Tuesday,3
1325006,ad,False,1,Monday,15
1606303,ad,False,5,Sunday,20
1235854,ad,False,29,Wednesday,10
1193379,ad,False,60,Wednesday,19
1488849,ad,False,4,Thursday,21
1047654,ad,False,3,Saturday,20
1252570,ad,False,7,Tuesday,15
1477351,ad,False,25,Thursday,17
1283792,ad,False,5,Sunday,17
1638589,ad,False,147,Tuesday,14
1405797,ad,False,2,Friday,11
1049720,ad,False,17,Thursday,14
1359103,ad,False,16,Tuesday,13
1132349,ad,False,5,Thursday,12
1072507,ad,False,5,Friday,23
1407662,ad,False,24,Friday,21
1426872,ad,False,30,Thursday,8
1556260,ad,False,76,Sunday,17
1137554,ad,False,24,Wednesday,11
1431357,ad,False,10,Thursday,18
1126270,ad,False,4,Sunday,12
1461239,ad,False,5,Friday,9
